tweet_id,tweet_username,tweet_text,id
1021794000691490817,badgalmare,"""@CLUBEFOLLOWBACK @Jujubs_Gabs "" clube bolsonaro"" KJKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK""",
1021794002494992386,VemMed2017,"""@RomneySilva1 @ValSilvestre11 @mdocarmog @alcebiadesbrito @maepatriota @JanainaDoBrasil Existe já um livro qdo Lula, inclusive em PDF grátis no Google Play, ai vc vai em Livros""",
1021794004080504832,deivis_sil,"""@Andrecosta1911 @BlogDoPim @lobaoeletrico O Bobãoelétrico não disse apenas que não vota em Bolsonaro, acusou e generalizou todos os eleitores do Bolsonaro de modo pejorativo. É bem diferente. Mas tá certo, ele estava para ir no Fausto, tinha que fazer uma média.""",
1021794009075916800,jabaRevoltz,"""@Rosil04822756 @lobaoeletrico @yellowrafaella @doohnice @LindomarMaia @LeowitterPC @RedeGlobo Resumindo a mídia esquerdista acaba de comprar Lobão, mais um influenciável das REDES SOCIAIS que começou meter a ripa no Bolsonaro só agora que ele se oficializou candidato kkkkkkk""",
1021794009579053056,kethlemes,"""Só não vale ser machista, racista, xenofóbico discriminar qualquer minoria e/ou compactuar com qualquer ideia do Bolsonaro""",
1021794023793721346,laylacamilly,"""Lula ou Dilma? — Dilma..😂 """,
1021794040952619008,dudasmarques_tt,"""Jovens e adultos preocupados com o bolsonaro nas eleições em setembro""",
1021794072229490688,PaixaoMatsuda,"""@vanessabg81 Vanessa, se eu fosse o Bolsonaro, pagaria pra ver. Desconfie, quando todos em sua volta sempre concordam com vc...""",
1021794101962919937,AMello26,"""@ElvisRo04398534 @LourenzoAL @LulaOficial @RedeGlobo Levando em conta que sou humilde é sou Bolsonaro 😂😂😂👉""",
1021794108988424192,aleessandrapr,"""GENTE SÉRIO, PQ OS BOLSOMINIONS ACHAM QUE SÓ EXISTE ESQUERDA OU DIREITA? TIPO, EU NÃO APOIO O BOLSONARO, LOGO SOU LULETE KKKKKKKKKKKKKKKKKKKK ACORDEM""",
1021794112612327426,mfreitas341,"""@joice_jsk @leandroruschel Preparem-se porque com o Bolsonaro vai ser a mesmíssima coisa. Essa gente é INSUPORTÁVEL""",
1021794143755022336,martirizou,"""Engraçado q a maioria q é contra o Bolsonaro é universitário noiado, noiado e lgbt noiado.""",
1021794155524173824,henrel,"""Cid e Ciro Gomes são acusados de desviar R$ 300 milhões, diz revista """,
1021794157273264134,HHenriquemann,"""@10neto @OSDONOSDABOLA tava indo bem ate defender o kfouri. Um dos maiores lobos em pele de cordeiro da imprensa brasileira. Um comunista q defende ideologia de miséria p os outros mas vive pleno os louros do capitalismo. Amicíssimo do maior bandido sanguinário desse país. O Lula""",
1021794160494489600,DutraAriela,""" #FatoOuFake #LULA #OBrasilFelizdeNovo""",
1021794161660489728,Dark_Hirkey,"""Gostei de um vídeo @YouTube  ABSURDO, BOLSONARO!""",
1021794194313150464,ricardo26610,"""@brdezoito @Boscardin Ué @Boscardin , e o teu vice parece que não aceitou, será que foi o Lula que pediu pra ele desistir? Ou foi ele que achou que era carreira perdida? Ou achou que era um nome que não contribuía em nada, e só Jesus Cristo salvaria Alckmin? Fala aí...""",
1021794199073710082,sosfairy,"""se o bolsonaro for eleito o sul pode por em prática a separação""",
1021794214718459904,puurehemp,"""@LeoDiniz12 tu é fã do lula ne seu divo""",
1021794223757164544,Armeteo,"""@Galdak Correcto. Toda la pinta de ser una única célula aislada.""",
1021794231340474370,analaura_cris,"""Eu já não gostava do Bolsonaro, ai ele disse que vai aprovar a caça de animais no Brasil, pronto odeio""",
1021794232363835392,esmaelmorais,"""Lindbergh, Bolsonaro e Chico Alencar embolados na disputa pelo Senado no Rio  """,
1021794238395281409,LeoDiniz12,"""@puurehemp Bolsonaro 2018, extermínio dos erros no Brasil kkkkk. Vem AK-47""",
1021794239414525952,EvelynP28647301,"""QUE ABSURDO, BOLSONARO!  via @YouTube""",
1021794252622311424,claudiovereza,"""Gostei de um vídeo @YouTube  música Lula Livre!""",
1021794256434995200,fabioadepaula,"""@luizcoutopt @PTnaCamara Empresário de bosta. Só chegou alto graças aos funcionários e ao Presidente Lula e a Presidente Dilma com políticas para o povo sempre visando a melhora da economia""",
1021794257064144897,pppholanda,"""vocês ainda têm esperança de que lula pode ser presidente em 2019?""",
1021794268686495745,GuilhermeAcilio,"""I added a video to a @YouTube playlist  Roda Viva | Geraldo Alckmin | 23/07/2018""",
1021794281823109120,G48ri3l12,"""Se a Advogada Janaína Paschoal se candidata-se a presidência da república teria meu voto, acho ela preparada e me representa bem, Uma aliança entre ela e Bolsonaro seria perfeito prós dois, mas criticar a Janaína por pensar diferente as vezes, pode ser perigoso.""",
1021794282422841344,fabiocampana,"""Lula, o garoto propaganda de Meirelles  """,
1021794287888027650,MarioAvilax,"""FINALMENTE ENTENDI! , A CANDIDATURA LULA É NA VERDADE UM CENSO PARA DESCOBRIR QUANTOS IDIOTAS AINDA EXISTEM NO BRASIL.""",
1021794293831397379,AssisCoite,"""“TRE deveria dar título ao prefeito Assis pela honestidade e trabalho sério”, afirma deputada Neusa, , Obrigada deputada Neusa Lula... """,
1021794296813559810,PaquerGabriel,"""@eita_bru o cara posta uma foto com o filho apoiando o bolsonaro (OPINIÃO DELE) e eu que não sei interpretar? kkkkkkkk talvez seja pq no mundinho de vocês só existem opiniões iguais a sua e qualquer outra opinião contrária é mal vista e o cara já é chamado de “macho escroto”""",
1021794296960348160,Flavi0Cardoso,"""Bolsonaro e Janaína Pascoal = Lord Voldemort e Dolores Umbridge.""",
1021794298860326914,Vivianemontheir,"""#debatenopanico ""Por que o Lula tem 33%? Porque todo mundo fala dele!"", Do Pânico, CARIOCA - Um pensador moderno..., ""Bolsonaro em com 27% pq não é CORRUPTO"" Kim do MBL um Filososo moderno. #17Amo""",
1021794298914910210,EVOLUTWEET,"""@GrupoMetropole @Hendrix_Careta O Nordeste é LULA, não precisa das zebras da direita!!!""",
1021794301498585088,tumblador,"""@alxsxs se for papai bolsonaro nao e nao""",
1021794301607661568,Marcelo47168064,"""@correio Ele será o vice do Ciro Gomes...e juntos vamos ganhar essa eleição.""",
1021794332867743744,Brifernands16,"""Como eu pude já ter apoiado o Bolsonaro, mdsssss! Devia estar com demência...""",
1021794336747540480,evair_nunes,"""Vantagem do Lula em Minas é ""assombrosa""!  via @ConversaAfiada""",
1021794354296496136,JorgeLuizCarv18,"""@SimoneRJ_BR Chora esquerdistas, dá-lhe Jair Bolsonaro!!!, #EuVotoBolsonaro17""",
1021794358545330181,Celinho_Valente,"""@RicaPerrone Quanto mais você defende o Neymar, mas me lembro de petistas usando argumentos absurdos pra defender o Lula.""",
1021794363209408512,DCM_online,"""Aos gritos de “Lula livre”, manifestantes jogam tinta vermelha em uma das entradas do STF, diz JOTA """,
1021794363511373825,joaozim_victoor,"""Lula ou Dilma? — Eu e você """,
1021794372289998848,Lesu_mr,"""Antes de eu vir fizeram um quebra gelo na Célula... e eu tirei a palavra ""salvação""... parecia ser alo simples, mas pra mim não, Deus confirmou coisas que eu já tinha ouvido no meu TSD. , Entre outras coisa aqui.... , Como não está grata? ❤😭""",
1021794402870681600,AlbertoSantosjc,"""@JornalOGlobo Portugal cresceu menos que a média e muito menos que os países em similar condição na Europa, após o partido socialista e Jose Socrates(O Lula de Portugal) destruirem o país com corrupção e gastança. Nos últimos dois anos melhorou com MAIS AUSTERIDADE E NÃO COM MENOS. """,
1021794411116724229,esquerdaFede,"""@tommodioso Gente inteligente que não vota no Bolsonaro? Difícil hein? Os inteligentes vão votar em Bolsonaro.""",
1021794413796835330,S_Mcleod_69,"""Gostei de um vídeo @YouTube  vai soltar Lula e quem vai ficar com Bolsonaro?! Aniversário do One""",
1021794425029185537,saturninox1,"""Gostei de um vídeo @YouTube  vai soltar Lula e quem vai ficar com Bolsonaro?! Aniversário do One""",
1021794426371403776,BorisYopo,"""@williammallouhi No hay pruebas ...Lula le pidió al juez aunque sea ""una sóla prueba"" y éste le dijo ""no tengo"" y le dijo que solo tenía ""el convencimiento de su culpabilidad"" ...así está la justicia en Brasil""",
1021794428581752833,caithell,"""""Bolsonaro quer liberar a caça"", , Olha pelo lado positivo, se liberar a caça vai poder matar esse animal sem risco de ir preso., , #Reflita""",
1021794431198998530,Adriano14004890,"""@MariaLCAb @antoniojmrocha Esteja certa de que seu voto em Bolsonaro não será um ""dane-se"" e sim um ""Viva o Brasil""! 🇧🇷 #BolsonaroPresidente2018 #Bolsonaro17""",
1021794441366003714,ViCiencia,"""I liked a @YouTube video  Análise política com Breno Altman: nome da unidade é Lula""",
1021794441961582597,Nicolli_Ghin27,"""Não é possível q o filha da puta do Bolsonaro vai liberar a caça ao animais""",
1021794472324153345,_giulianienow,"""Gente o slogan do Bolsonaro é que o maior bem é a liberdade juro q tento compreender a mente deste energúmeno e seus eleitores but I can't""",
1021794474467487744,RubenChavezRo,"""Que parte no entendieron LULA está preso por ladrón. Y quien se preocupa de visitar al ladrón también lo es. ESTAMOS.""",
1021794483036405761,ultrashalo,"""@julianapt perto do Lula,Alckmin é um santo....""",
1021794483762077696,Eduarda80318192,"""@JanainaDoBrasil Dra Janaína, gostaria de expressar minha preocupação com a possibilidade de sua candidatura como vice de Jair Bolsonaro. O seu discurso na convenção do PSL foi no mínimo inconveniente e desagradável...""",
1021794486467403777,matheusfirmino7,""" #RaquelFaria #LULA #InstitutoDoxa #OTempo #OBrasilFelizdeNovo""",
1021794491521552384,conchamh,"""Alberto Mayol por su apoyo a Lula: “Mandela también estuvo preso” ¿cómo este imbécil e ignorante puede comparar a Lula con Mandela? ¿Está loco?""",
1021794494818201601,anaaleencaar,"""Falou mal de bolsonaro chega logo as caçamba de mrda p defender ne?? Cambada de lixo #DebateNoPanico""",
1021794503760461826,alexsandro_pere,"""@rosa_riscala @Boscardin Collor tinha carisma e deu no que deu. Lula tinha carisma e onde ele está agora. Carisma nunca significou competência e retidão.""",
1021794505622740994,biobio,""".@ominamipascual explicó que a la expresidenta le complicaría el horario de visita, debido que sólo podría ser los jueves en la tarde, , """,
1021794512325226496,sergiusdourado,"""@GABRELPlNHElRO Bolsonaro já apoiou Lula e Ciro, mas nunca Marina...""",
1021794520097284097,Gabriel_Groma,"""@joaoamoedonovo @brdezoito Fazendo campanha pro Bolsonaro? Pelo jeito já decidiu que irá apoiá-lo no segundo turno.""",
1021794538166382592,MarceloPintoBA,"""Lula rejeita vingança e promete pacificar o país, caso seja eleito em outubro  via @esmaelmorais""",
1021794555954376704,cazoliel,"""@mirelich Hoje tenho célula, mb""",
1021794556881321987,savyocarvalho,"""@jeffs_araujo35 @salomaocohen @CamilaPed2 Eu tb achei bemmmmmm imbecil essa comparação.Como tb achei bemmmmmm imbecil chamar “olavete” de seita pela janaina em Abril/16.Como tb acho idiota essa briga entre quem vota e Bolsonaro e quer janaina de vice e quem não quer. Eu acho q eles, jair e janaina,tem de conversar a sós!""",
1021794567627202560,vicgms_17,"""@LulaOficial Esse acessor novo do lula é criativo p krl""",
1021794589819236352,matragafp,"""@cecconcfr @MLunardi @Florisrs A eleição mais importante de outubro não é a presidencial. Lula na cadeia é um super cabo eleitoral. Os resultados das pesquisas mostram que é imprudência mexer no time. Tem que ter sangue frio.""",
1021794599378018304,puurehemp,"""@LeoDiniz12 achei q era pangua... mas é mais do q isso akakakakka coe leyley bolsonaro vale nem um pão com abricó""",
1021794605535252481,mivagodet,"""PERSEGUIÇÃO É PRA LULA E O PT, #LulaLivre #LulaPresidente #ForaMoro #LulaInocente """,
1021794618160107520,WallaceHiiguain,"""@LourenzoAL @RicaPerrone Carioca que votar no Lula merece a forca. """,
1021794621976920064,danielnainterne,"""@beatrizbulla @dfaranha Exatamente! Lula e Ciro Gomes são extremamente perigosos à jovem e capenga democracia tupiniquim!""",
1021794624636116994,alamini_bel,"""@LourenzoAL @GABRELPlNHElRO Lula não pode ser candidato. PELO AMOR DE DEUS ,  É PRISIONEIRO""",
1021794631267303427,RobertoLuiz7,"""O ‘santo’ @geraldoalckmin foi rejeitado pelo Josué Alencar pra vice @EricAmaral10, ele não está conseguindo vice, o Centrão está exigindo muito, ele abaixou as calças e vcs não podem mais criticar o Bolsonaro por causa de vice. Vida engraçada não?""",
1021794637256843265,beelzebulbasaur,"""@vitu_tv Lula livre.""",
1021794639576096773,DeputadoFederal,"""Lula e a criação de empregos!, , Com Lula, o Brasil será o país das oportunidades de novo. #OBrasilFelizDeNovo """,
1021794650045276162,joaoMcdo,"""@LulaOficial Tá usando drogas ô lula, tá doidão? Deve ser a proximidade do vaso sanitário com a cama""",
1021794653304233984,Marcosjdiniz,"""@meirelles @BlogdoNoblat Dilma, Lula, Alkimim, Doria, Ciro,FHC te elogiou??? Então tô fora ! #BOLSONARO2018""",
1021794654231162881,conexaorad,"""Festival Lula terá a liderança da dupla autora de ""Cálice"" - Gil e Chico , ,  """,
1021794657708204033,teiagarcia86,"""@mitastic @Doguinhho @PeloFimDoPT1 @apyus Será q nós bolsominios q somos fanáticos! O que tem de jornalistazinho meia-boca q fica falando de Bolsonaro SÓ pra aprecer, depois ficam de frescura Ainn o bolsominios isto... é aquilo aí aiai.#MulheresComBolsonaro #BolsonaroPresidente #Bolsonaro2018 .""",
1021794663370346496,mariaellaiza,"""ee lula tulog na""",
1021794671645917186,AMello26,"""@LourenzoAL @Tarik_mohad Levando em conta que Lula tá preso,sou humilde sou nordestina  e voto em Bolsonaro eu e minha família, e todos q conheço no meu estado...o choro é livre""",
1021794671994003456,otempo,"""Marina volta a atacar aliança Centrão e Alckmin e critica Bolsonaro #Eleições2018  """,
1021794685512232960,kayna_pedro,"""@sapinhoopres @fabiostassen @LourenzoAL @ElvisRo04398534 @LulaOficial @RedeGlobo Fernandinho Beira-Mar , acho que ele manja mais de economia e tem vários contatos no exterior., Já o goleiro Bruno ao contrário do lula não tinham provas contra ele foi preso injustamente !, #GoleiroLivre""",
1021794690495131649,willsandrini,"""@paulinhodino Mas o problema é criancinha fazendo gesto de arminha no colo do Bolsonaro..""",
1021794706307657728,Raissa10811657,"""#ProjectInfinity EU JURO,SE EU NÃO TIVER ESSE VÍDEO CLIPE AQUI E AGORA NA MINHA MESA,EU JURO QUE EU VOU NA CASA DE CADA UM ,SEQUESTRO E COLOCO BOLSONARO PRA VOCÊS OUVIREM""",
1021794707616276480,loveitavocado,"""se for real isso do bolsonaro liberar a caça eu vou ser obrigada a cometer uma atrocidade, , (na verdade eu n vou cometer atrocidade nenhuma pois estarei imersa num poço de tristeza e ódio)""",
