username,tweet,review,ironic
RCandeu,"""Socialistas de Pernambuco celebram frente de esquerda costurada por Lula """,1,False
fabiobolsonaro,"""@joaoamoedonovo João Apóie #bolsonaro, e se prepare pras próximas eleições pq suas idéias são ótimas, pq nesse momento a  luta é contra a esquerda que desmoralizando nossa sociedade e somente Bolsonaro se encaixa nessa luta. Mas suas idéias são ótimas.""",1,False
eduzation,"""Fato curioso é que o presidente do PRTB, partido do Gen. Hamilton Mourão (vice do Bolsonaro), é o Levy Fidelix., , Sim, aquele mesmo que disse que ""está na hora de falar sério sobre o projeto aerotrem"".""",-1,False
rZnAruan,"""Olavo comenta sobre a escolha do vice de Bolsonaro: """,0,False
RafaelOtsutuski,"""Gostei de um vídeo @YouTube  DA GLOBO TENTA CHAMAR BOLSONARO DE CORRUPTO ""ELE NÃO DEIXOU BARATO""""",0,False
juliogreca,"""@jorgelordello Continuar a campanha pró Bolsonaro!""",0,False
RafaelOtsutuski,"""Gostei de um vídeo @YouTube  ENTREVISTA SECRETA DE BOLSONARO NA GLOBO VAZOU!!! #GloboLixo""",0,False
DesculpasDoPT,"""Os protestos são uma estratégia do Bolsonaro para oprimir a presidência da república! #DesculpasDoPT""",0,False
RODRIGUES241185,"""@Haddad_Fernando Vai morar no presídio também?, Pois é só la que lula será presidente de cela.""",-1,False
MirandaSa_,"""Com Lula potencialmente inelegível, partido põe em prática ‘plano B’: Haddad será candidato à presidência e Manuela D’Ávila sai da disputa e sai na vice""",0,False
JucileiaMoreir3,"""@yashagallazzi @DonaReginaa Quem tem pelo menos 5 neurônios sabe que o único presidenciável que vai acabar com a corrupção pois vai deixar a Lava Jato trabalhar é o Bolsonaro, os demais vai acabar com a Lava Jato.""",1,False
nol0vedeepweb,"""Petistas: CIRO GOMES CORONEL OLHA AÍ TRAINDO TUDO E TODOS COM KATIA ABREU DE VICE EU AVISEI SEUS MERDA, also Petistas: """,-1,False
92kaue,"""Haddad+Manuela, Bolsonaro e sua fragilidade, Ciro com pouco tempo de TV, Marina sendo Marina, só um milagre nos salvará de um governo tucano nos próximos 4 anos""",0,False
andre_wea,"""Adicionei um vídeo a uma playlist @YouTube  Lula diz que acreditava que ficaria preso apenas uma""",0,True
priwago,"""o bolsonaro até tentou instaurar uma monarquia convidando o principe pra vice, mas nessa disputa o pt saiu vencedor de novo, botando haddad e manuela na chapa, que são os verdadeiros reis do meu 💙""",-1,True
PortalGuaira,"""Eleições 2018 – Escolhido como vice de Bolsonaro, general Mourão diz estar honrado """,0,False
jennyfercruz76,"""@maepatriota É coisa de jumento mesmo.... sabem q ou é Bolsonaro ou o Comunismo..., #SomosTodosBolsonaroEMourao , #EuVotoBolsonaro17 """,1,False
PauloMozzone,"""Bolsonaro perde paciência e xinga jornalista da Rede TV  via @YouTube""",-1,False
GugaSomera,"""@rtitareis @DaniBragaTO @GawenRJ @joomikhail @gpiazza_ @LulaOficial Vamos ver quem vai ser o mais forte no discurso para tentar aniquilar Bolsonaro""",0,False
gojammaj,"""PT anuncia Fernando Haddad como candidato a vice de Lula """,0,False
desigrejadosbr,"""LULA: O PRESO CANDIDATO A PRESIDÊNCIA ! BRASIL CHACOTA - O PAÍS DAS MARIONETES! """,-1,False
figueiralves,"""@EricAmaral10 O Bolsonaro está esquecendo do eleitorado feminino que ele tem menosprezado..claro tem aquelas que gostam do seu estilo machista racista e homofóbico.""",-1,False
StedileMagno,"""Lula foi condenado pelo seu triplex:, , Lula, Haddad, Manuela, , É crime defender os pobres e a educação no Brasil.""",0,False
novomomento,"""Lula, Haddad e Manu na chapa triplex """,-1,False
StedileMagno,"""Lula foi condenado pelo seu triplex:, ., ., ., Lula, Haddad, Manuela, ., ., ., É crime defender os pobres e a educação no Brasil.""",0,False
luizpc,"""@vanessabg81 Enquanto a Esquerda brigava entre eles , não ganharam Eleições, nós da Direita não podemos cometer o mesmo erro deles. O Momento e de União e Fechar com o Bolsonaro , só assim venceremos., #TodosComBolsonaroEMourao""",1,False
VilsonRq,"""@SPD_33 A Globo ta se borrando com o sucesso do Jair. Espero que haja suicídio coletivo de seus jornalistas no dia da posse de Bolsonaro.""",-1,False
chailsonbassini,"""Gostei de um vídeo @YouTube  teu lugar é no chiqueiro da história"", diz Bolsonaro à Miriam Leitão.""",-1,False
lucasdeeiroz,"""assisti o debate do bolsonaro, e o mais triste é que a surpresa foi o despreparo dos entrevistadores""",-1,False
eliseu_anjos,"""Então tá!   Daqui a vinte anos. """,0,True
RicardoSDGomes,"""@helenbraun_ Seria interessante um debate com esses 3 vices presidentes citados por voce. Porque os de cabeça de chapa prometem fortes emoções se o Bolsonaro estiver presente em todos os debates.""",-1,False
ligiarraes,"""@HudsonG99 @roxmo O Olavo tem razão, as always. Bolsonaro neles! #BolsonaroPresidente #Bolsonaro2018                 #Bolsonaro17 #MulheresComBolsonaro #BrasilComBolsonaro #BolsonaroLiveHoje #OBrasilEntrevistaBolsonaro 👉🏻😎 """,1,False
desouzabetalab,"""Ana Amélia com Alckmin tira palanque de Bolsonaro no Rio Grande do Sul  """,0,False
wrcoelio,"""Janaína Paschoal elogia Ditador Ciro Gomes , "" Vice Bolsonaro ""  via @YouTube""",0,False
jjjoycemonteiro,"""@_aninhacs Não acho que ele seja a favor do bolsonaro não... pelo o que ele disse, conhece ele e o cara é louco""",-1,False
Amarulacarvalho,"""Lula lidera pesquisa CNI-IBOPE com 33% dos votos  via @nocautefm""",0,False
mivagodet,""", Boa Noite 247 - Agora é oficial: papa abençoa lula  via @YouTube""",0,True
rdvilela,"""Bolsonaro certamente sairá vitorioso nesse debate. """,1,False
maurocarlos,"""É isso aí Marcio, já que Intervenção é utopia. vamos de Bolsonaro. 😎👉🏻👉🏻 """,1,False
MikeTorres221b,"""Só de rebanho, né """,0,True
trajanojorge,"""Ibope/CNI é o mesmo há quase 2 meses, mas Lula fica sem gráfico…  via @tijolaco""",0,False
marcosilva642,"""Gostei de um vídeo @YouTube  AMÉLIA ACEITA SER VICE DE ALCKMIN E PREOCUPA TIME DE BOLSONARO.""",0,False
fernandobragato,"""Gostei de um vídeo @YouTube  AMÉLIA ACEITA SER VICE DE ALCKMIN E PREOCUPA TIME DE BOLSONARO.""",0,False
DSchererFe,"""Boa Noite 247 - Agora é oficial: papa abençoa lula  via @YouTube""",0,True
anslimamil,"""@o_antagonista Urgente? Tô cag***** um monte pra eles... Se o Bolsonaro não ganhar, tanto faz qualquer porcaria pois continuaremos na mesmisse de mais de 500 anos da República falida do Brasil!""",-1,False
mellosflavia,"""adorei tu palpitando entre lula ou dilma mas disse que se tivesse idade votava no bolsonaro 🤷‍♂️ — Q? Onde q ta escrito isso? """,0,True
Lukkaaz_Souza,"""@LucaSCarvalhoUS @DiegoDV00933965 @FelipeS85665103 @imaginago Mas claro, quem será que ta certo? uma professora DOUTORA da usp, ou um moleque do twitter? Um grupo inteiro no facebook que sabe sobre economia, liberalismo, que realmente ESTUDAM e são gays e APOIAM bolsonaro, , OU, , uns papagaios que repetem o que houvem na tv sobre bolsonaro?""",0,True
GalimbertiFran,"""@andreazzaeditor Perfeita colocação. Ganha os votos dos que preferem um campo já conhecido e sim, acredito que conquiste alguns dos eleitores silenciosos de Bolsonaro.""",0,False
EllynanAbibe,"""Amigos negrxs que vão votar no Bolsonaro (lixo), só uma coisa: eu não escravizei ninguém, não te devo cota nenhuma. """,-1,False
apadmeida,"""Ana Amélia aceita convite e será vice de Geraldo Alckmin """,0,False
paulomoura72,"""@SchuldinerSieg O chuchu precisa sempre utilizar o Bolsonaro como baliza em suas manifestações para conseguir audiência. Rêmora !!!""",0,False
marcosoliveiran,"""Sempre fui um apoiador do PT, mas no momento apoio apenas a liberdade de Lula para que ele seja candidato. Porém essa história entre o Ciro Gomes e um possível apoio do PSB me deixou extremamente chateado com o partido.""",-1,False
evellinmotta,"""depois daquele fiasco do bolsonaro como alguém ainda consegue apoiar ele?""",-1,False
noslyaht,"""@lipi_zinhon @johnmt22 ninguém pode provar que aquilo ali é realmente verdade. As pesquisas que eles fazem podem ser manipuladas, lembrando que o Lula mesmo preso já ganhou varias pesquisas! Querer apoiar e votar no Bolsonaro é uma burrice.""",0,False
lollytaab,"""Esperando anciosa o Lula voltar. #LulaLivreja""",1,False
Helio_mothci,"""@alexlimareal Tem o modelo ""Bolsonaro""? Se não não quero, mas obrigado, boa sorte e abandonem o Alckmin. ;) #BolsonaroLiveHoje""",0,False
adzurcpr,"""MPF defende Moro e diz que briga no TRF-4 sobre libertação de Lula teve ""pá de cal""  via @UOLNoticias @UOL""",0,False
Ewerton_czar,"""@DiarioPE Toma Paulo, vai visitar e apoiar Lula e visitar ele na cadeia 😂😂😂😂""",-1,False
AFS_Andrada,"""Ana Amélia e Geraldo Alckmin é a chapa Rivotril/Lexotan., Sono na certa.""",0,False
LarissaThuanne,"""""Um recado pra vocês hein..., Nessa eleição não vote no Jair Bolsonaro. Quer votar direita? Vota direita. Quer votar esquerda? Vota esquerda. Faz o que você quiser, só NÃO vota no Jair. , Vai ser melhor pra gente, eu sei que tá difícil, mas não vai no PIOR."", @paulocuenca """,-1,False
Andre_jr022,"""Bolsonaro ou Lula? — Bolsonaro """,1,False
VildesonD,"""@o_antagonista Bolsonaro 😎 2018""",1,False
ligiarraes,"""@OMundrongo 👏🏻👏🏻👏🏻👏🏻👏🏻 Bolsonaro neles! #BolsonaroPresidente #Bolsonaro2018                 #Bolsonaro17 #MulheresComBolsonaro #BrasilComBolsonaro #BolsonaroLiveHoje #OBrasilEntrevistaBolsonaro 👉🏻😎""",1,False
robertoquix1,"""Gostei de um vídeo @YouTube  DODGE: LULA TEM QUE FICAR PRESO POIS USOU O PODER PARA ROUBAR O BRASIL.""",-1,False
LokinguoThiago,"""Gostei de um vídeo @YouTube  Bolsonaro a Ciro: Análise eleitoral 2018""",0,False
chfelix,"""#BolsonaroLiveHoje, , Allan dos Santos e Jair Bolsonaro Hoje ao vivo!  via @YouTube""",1,False
KoizumiKeyTo,"""@DarkkManeiac La mitocondria es la fuente de energía de la célula""",0,True
