username,tweet,review,ironic
Tarcisionicodem,"""@mcbretas Erro de análise @mcbretas As ""mudanças"" dos outros candidatos são de 360° rsrs . Só temos Bolsonaro de diferente.""",-1,False
jlbarbosa65,"""AVISO, , Odiar é com o fígado, votar é com consciência. , Não voto Bolsonaro!""",-1,False
adecleia_maria,"""@rosaneoliveira Chorar, espernear, interpretar entrevistas a seu modo, psicografar do além não vai mudar o fato que o Bolsonaro é um forte candidato a ganhar a eleição, mais BRASIL, menos militância política 🤔""",1,False
valstrozake,"""@fegrisch Lula tem 30% dos votos. Não se abandona esse potencial todo.""",1,False
RCandeu,"""Socialistas de Pernambuco celebram frente de esquerda costurada por Lula """,1,False
fabiobolsonaro,"""@joaoamoedonovo João Apóie #bolsonaro, e se prepare pras próximas eleições pq suas idéias são ótimas, pq nesse momento a  luta é contra a esquerda que desmoralizando nossa sociedade e somente Bolsonaro se encaixa nessa luta. Mas suas idéias são ótimas.""",1,False
brualvvays,"""Bolsonaro terá 8 segundos de tv por dia, metade do que Éneas tinha rssrsrarsrs vamos fazer nossa parte e parar de dar ibope pra esse mané tmb aqui nas redes""",-1,False
eduzation,"""Fato curioso é que o presidente do PRTB, partido do Gen. Hamilton Mourão (vice do Bolsonaro), é o Levy Fidelix., , Sim, aquele mesmo que disse que ""está na hora de falar sério sobre o projeto aerotrem"".""",-1,False
PortalDiarioAR,"""Infobae | El ex ministro Fernando Haddad será compañero de fórmula de Lula da Silva en Brasil  """,1,False
VanilaChinni,"""@Estadao Depois da jogada do Lula, com possibilidade viável de eleger p presidente o seu candidato, alguém se achar 'especialista' em imagem é nonsense, , ""Imagem"" = Lula está na bolha (prisão), com mkt negativo e pode ganhar, Explique essa ou reveja sua posição sobre mkt eficiente""",1,False
acquavasos,"""JUIZ que aprendeu Passaporte de Lula, absolve Geddel """,-1,False
jacs550,"""@brasil247 Sim, a minha TV ficará ligada apenas no tempo de JAIR BOLSONARO PRESIDENTE, não tenho interesse de assistir os outros candidatos.""",1,False
rZnAruan,"""Olavo comenta sobre a escolha do vice de Bolsonaro: """,0,False
RafaelOtsutuski,"""Gostei de um vídeo @YouTube  DA GLOBO TENTA CHAMAR BOLSONARO DE CORRUPTO ""ELE NÃO DEIXOU BARATO""""",0,False
juliogreca,"""@jorgelordello Continuar a campanha pró Bolsonaro!""",0,False
Antonio69595758,"""@Ricamconsult Esse é o eleitor do lula""",0,False
RafaelOtsutuski,"""Gostei de um vídeo @YouTube  ENTREVISTA SECRETA DE BOLSONARO NA GLOBO VAZOU!!! #GloboLixo""",0,False
poseidonzinho,"""Estuprador eleitor de bolsonaro eh contraditório, O Bolsonaro quer castrar ou matar vc meu broder""",-1,False
DesculpasDoPT,"""Os protestos são uma estratégia do Bolsonaro para oprimir a presidência da república! #DesculpasDoPT""",0,False
RODRIGUES241185,"""@Haddad_Fernando Vai morar no presídio também?, Pois é só la que lula será presidente de cela.""",-1,False
MirandaSa_,"""Com Lula potencialmente inelegível, partido põe em prática ‘plano B’: Haddad será candidato à presidência e Manuela D’Ávila sai da disputa e sai na vice""",0,False
FiHildete,"""@terezaneuman1 Lula preso está com mais poder de liderança! Adorando também!""",1,False
JucileiaMoreir3,"""@yashagallazzi @DonaReginaa Quem tem pelo menos 5 neurônios sabe que o único presidenciável que vai acabar com a corrupção pois vai deixar a Lava Jato trabalhar é o Bolsonaro, os demais vai acabar com a Lava Jato.""",1,False
nol0vedeepweb,"""Petistas: CIRO GOMES CORONEL OLHA AÍ TRAINDO TUDO E TODOS COM KATIA ABREU DE VICE EU AVISEI SEUS MERDA, also Petistas: """,-1,False
thalitasantucci,"""vamo aproveitar enquanto a gente ainda pode andar na rua sem ter neonazi latino-americano pardo quebrando garrafa na nossa cabeça e obrigando a gente a pendurar um quadro do bolsonaro no nosso quarto kkkkkkk""",-1,False
92kaue,"""Haddad+Manuela, Bolsonaro e sua fragilidade, Ciro com pouco tempo de TV, Marina sendo Marina, só um milagre nos salvará de um governo tucano nos próximos 4 anos""",0,False
andre_wea,"""Adicionei um vídeo a uma playlist @YouTube  Lula diz que acreditava que ficaria preso apenas uma""",0,True
priwago,"""o bolsonaro até tentou instaurar uma monarquia convidando o principe pra vice, mas nessa disputa o pt saiu vencedor de novo, botando haddad e manuela na chapa, que são os verdadeiros reis do meu 💙""",-1,True
PortalGuaira,"""Eleições 2018 – Escolhido como vice de Bolsonaro, general Mourão diz estar honrado """,0,False
